ARTICLE LINK,PUBLISHED DATE (GMT),Date,PUBLISHER,TITLE,Sentiment,Score
https://news.google.com/__i/rss/rd/articles/CBMibmh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDIyLzgvMjUvMjMzMjEzNDEvdHdpdHRlci1wZWl0ZXItbXVkZ2UtemF0a28tY29uZ3Jlc3MtdGVzdGlmeS13aGlzdGxlYmxvd2VyLXNlY3VyaXR50gEA?oc=5,8/25/2022 10:26,8/25/2022,Google News,Twitter whistleblower to testify in Congress over damning security revelations - The Verge,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiggFodHRwczovL3d3dy5yZXV0ZXJzLmNvbS9idXNpbmVzcy9oZWFsdGhjYXJlLXBoYXJtYWNldXRpY2Fscy91cGRhdGVkLWNvdmlkLTE5LXZhY2NpbmVzLWFyZS1jb21pbmctdXMtc2hvdWxkLXlvdS1nZXQtb25lLTIwMjItMDgtMjUv0gEA?oc=5,8/25/2022 10:32,8/25/2022,Google News,"Explainer: Updated COVID-19 vaccines are coming in the U.S., should you get one? - Reuters",positive,1
https://news.google.com/__i/rss/rd/articles/CBMiRWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wOC8yNS9pbnZlc3RpbmcvdGVzbGEtc3RvY2stc3BsaXQvaW5kZXguaHRtbNIBAA?oc=5,8/25/2022 10:54,8/25/2022,Google News,Why Tesla's stock is so much cheaper today - CNN,negative,0
https://news.google.com/__i/rss/rd/articles/CBMiTmh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMjUvcGVsb3Rvbi1wdG9uLXJlcG9ydHMtcTQtMjAyMi1sb3NzZXMtbW91bnQuaHRtbNIBAA?oc=5,8/25/2022 11:00,8/25/2022,Google News,"Peloton reports big loss, decline in revenue as the company grinds through its turnaround plan - CNBC",negative,0
https://news.google.com/__i/rss/rd/articles/CBMid2h0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMjUvZG9sbGFyLXRyZWUtc2hhcmVzLWZhbGwtYWZ0ZXItY29tcGFueS1jdXRzLWd1aWRhbmNlLWludmVzdHMtaW4tY29tcGV0aXRpdmUtcHJpY2luZy5odG1s0gF7aHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjIvMDgvMjUvZG9sbGFyLXRyZWUtc2hhcmVzLWZhbGwtYWZ0ZXItY29tcGFueS1jdXRzLWd1aWRhbmNlLWludmVzdHMtaW4tY29tcGV0aXRpdmUtcHJpY2luZy5odG1s?oc=5,8/25/2022 12:34,8/25/2022,Google News,"Shares of Dollar Tree fall after company cuts guidance, citing investments in competitive pricing - CNBC",neutral,0.5
https://news.google.com/__i/rss/rd/articles/CBMiRmh0dHBzOi8vd3d3Lm5wci5vcmcvMjAyMi8wOC8yNS8xMTE5MzgxNTA4L2NhbGlmb3JuaWEtYmFuLWdhcy1jYXJzLTIwMzXSAQA?oc=5,8/25/2022 12:34,8/25/2022,Google News,California is poised to phase out sales of new gas-powered cars - NPR,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9NDZKRE5XQ3ZEODDSAQA?oc=5,8/25/2022 13:15,8/25/2022,Google News,Weekly U.S. jobless claims fall to 243000 - CNBC Television,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiWmh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMjUvc25vd2ZsYWtlLXNoYXJlcy1wb3AtMjBwZXJjZW50LWZvbGxvd2luZy1yZXZlbnVlLWJlYXQuaHRtbNIBXmh0dHBzOi8vd3d3LmNuYmMuY29tL2FtcC8yMDIyLzA4LzI1L3Nub3dmbGFrZS1zaGFyZXMtcG9wLTIwcGVyY2VudC1mb2xsb3dpbmctcmV2ZW51ZS1iZWF0Lmh0bWw?oc=5,8/25/2022 13:23,8/25/2022,Google News,Snowflake shares pop 23% following revenue beat - CNBC,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiemh0dHBzOi8vd3d3LmNvaW5kZXNrLmNvbS9tYXJrZXRzLzIwMjIvMDgvMjUvZXRoZXItbGVhZHMtY3J5cHRvLXJlY292ZXJ5LW9uLW1lcmdlLWNvbmZpcm1hdGlvbi1idXQtdHJhZGVycy1yZW1haW4tY2F1dGlvdXMv0gGJAWh0dHBzOi8vd3d3LmNvaW5kZXNrLmNvbS9tYXJrZXRzLzIwMjIvMDgvMjUvZXRoZXItbGVhZHMtY3J5cHRvLXJlY292ZXJ5LW9uLW1lcmdlLWNvbmZpcm1hdGlvbi1idXQtdHJhZGVycy1yZW1haW4tY2F1dGlvdXMvP291dHB1dFR5cGU9YW1w?oc=5,8/25/2022 13:25,8/25/2022,Google News,"Ether Leads Crypto Recovery on Merge Confirmation, but Traders Remain Cautious - CoinDesk",neutral,0.5
https://news.google.com/__i/rss/rd/articles/CBMihAFodHRwczovL3d3dy5jb2luZGVzay5jb20vbWFya2V0cy8yMDIyLzA4LzI1L2ZpcnN0LW1vdmVyLWFtZXJpY2FzLWJpdGNvaW4tZ2FpbnMtc3RhbGwtYXQtMjJrLWFzLW1hcmtldHMtYXdhaXQtcG93ZWxsLWF0LWphY2tzb24taG9sZS_SAQA?oc=5,8/25/2022 13:28,8/25/2022,Google News,First Mover Americas: Bitcoin Gains Stall at $22K as Markets Await Powell at Jackson Hole - CoinDesk,positive,1
https://news.google.com/__i/rss/rd/articles/CBMicGh0dHBzOi8vYXJzdGVjaG5pY2EuY29tL3RlY2gtcG9saWN5LzIwMjIvMDgvYW1hem9uLXRvLWNsb3NlLXVzLXRlbGVoZWFsdGgtc2VydmljZS1hcy1pdC1zaGlmdHMtc2VjdG9yLWFtYml0aW9ucy_SAXZodHRwczovL2Fyc3RlY2huaWNhLmNvbS90ZWNoLXBvbGljeS8yMDIyLzA4L2FtYXpvbi10by1jbG9zZS11cy10ZWxlaGVhbHRoLXNlcnZpY2UtYXMtaXQtc2hpZnRzLXNlY3Rvci1hbWJpdGlvbnMvP2FtcD0x?oc=5,8/25/2022 13:39,8/25/2022,Google News,Amazon to close US telehealth service as it shifts sector ambitions - Ars Technica,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9M1I1NWRCaXVzb03SAQA?oc=5,8/25/2022 13:52,8/25/2022,Google News,Cramer breaks down shares of Salesforce after company trims full-year forecast - CNBC Television,neutral,0.5
https://news.google.com/__i/rss/rd/articles/CBMiX2h0dHBzOi8vd3d3LmVuZ2FkZ2V0LmNvbS90aGUtZmlyc3QtaHlkcm9nZW4tcG93ZXJlZC10cmFpbi1saW5lLWlzLW5vdy1pbi1zZXJ2aWNlLTE0MjAyODU5Ni5odG1s0gEA?oc=5,8/25/2022 14:26,8/25/2022,Google News,The first fully hydrogen-powered passenger train service is now running in Germany - Engadget,neutral,0.5
https://news.google.com/__i/rss/rd/articles/CBMiSGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wOC8yNS9ob21lcy9tb3J0Z2FnZS1yYXRlcy1hdWd1c3QtMjUvaW5kZXguaHRtbNIBAA?oc=5,8/25/2022 14:39,8/25/2022,Google News,"Mortgage rates climb again, jumping to more than 5.5% - CNN",positive,1
https://news.google.com/__i/rss/rd/articles/CBMikAFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vc3RvcnkvYWxpYmFiYS1hbW9uZy1jaGluYS1zdG9ja3MtZ2FpbmluZy1hZnRlci1yZXBvcnQtZGV0YWlscy1wb3NzaWJsZS1yZXNvbHV0aW9uLXRvLXVzLWNoaW5hLWF1ZGl0LWlzc3VlLTIwMjItMDgtMjXSAQA?oc=5,8/25/2022 14:41,8/25/2022,Google News,Alibaba among China stocks gaining after report details possible resolution to U.S.-China audit issue - MarketWatch,positive,1
https://news.google.com/__i/rss/rd/articles/CBMib2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA4LTI1L2tleS11cy1ncm93dGgtbWVhc3VyZXMtZGl2ZXJnZS1jb21wbGljYXRpbmctcmVjZXNzaW9uLWRlYmF0ZdIBAA?oc=5,8/25/2022 14:41,8/25/2022,Google News,"US Recession 2022 Signals Complicated With GDP, GDI Diverging - Bloomberg",neutral,0.5
https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9a1dQQlFnOWQ0SW_SAQA?oc=5,8/25/2022 14:44,8/25/2022,Google News,"Philadelphia Fed President Patrick Harker: Recession or not, inflation needs to come down - CNBC Television",negative,0
https://news.google.com/__i/rss/rd/articles/CBMiRmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjIvMDgvMjUvYnVzaW5lc3MvY2l0aWdyb3VwLXJ1c3NpYS1leGl0Lmh0bWzSAQA?oc=5,8/25/2022 15:06,8/25/2022,Google News,Citigroupâ€™s Consumer Bank in Russia Was for Sale. Now Itâ€™s Just Closing. - The New York Times,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9ZXFPeWZUUmRrZ03SAQA?oc=5,8/25/2022 15:13,8/25/2022,Google News,"Home sales decline may show a worse than anticipated housing recession, says Moody's Mark Zandi - CNBC Television",neutral,0.5
https://news.google.com/__i/rss/rd/articles/CBMikQFodHRwczovL3d3dy5vcmVnb25saXZlLmNvbS9idXNpbmVzcy8yMDIyLzA4L21hY2tlbnppZS1zY290dC1kb25hdGVzLTQ0LW1pbGxpb24tdG8tcG9ydGxhbmQtYmFzZWQtbWVudG9yaW5nLW5vbnByb2ZpdC1mcmllbmRzLW9mLXRoZS1jaGlsZHJlbi5odG1s0gEA?oc=5,8/25/2022 15:18,8/25/2022,Google News,MacKenzie Scott donates $44 million to Portland-based mentoring nonprofit Friends of the Children - OregonLive,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiZ2h0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMjUvYW1hem9uLXN0cmlrZXMtZ3JlZW4taHlkcm9nZW4tZGVhbC13aXRoLWZ1ZWwtY2VsbC1tYWtlci1wbHVnLXBvd2VyLmh0bWzSAQA?oc=5,8/25/2022 15:28,8/25/2022,Google News,"Amazon strikes green hydrogen deal with fuel cell maker Plug Power, sending shares up - CNBC",positive,1
https://news.google.com/__i/rss/rd/articles/CBMigQFodHRwczovL3d3dy5raW5nNS5jb20vYXJ0aWNsZS9uZXdzL2xvY2FsL3dhc2hpbmd0b24tY2FsaWZvcm5pYS1iYW4tc2FsZS1uZXctZ2Fzb2xpbmUtY2FyLzI4MS01YWJmMTBjOC0xNGI2LTRhNDgtODQ1MC01NzkxNjY3YmI4NWHSAYUBaHR0cHM6Ly93d3cua2luZzUuY29tL2FtcC9hcnRpY2xlL25ld3MvbG9jYWwvd2FzaGluZ3Rvbi1jYWxpZm9ybmlhLWJhbi1zYWxlLW5ldy1nYXNvbGluZS1jYXIvMjgxLTVhYmYxMGM4LTE0YjYtNGE0OC04NDUwLTU3OTE2NjdiYjg1YQ?oc=5,8/25/2022 15:45,8/25/2022,Google News,Washington state to follow California and ban the sale of new gasoline cars - KING5.com,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiXWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL2VuZXJneS9vaWwtcHJpY2VzLXJpc2UtcG9zc2libGUtb3BlYy1zdXBwbHktY3V0cy0yMDIyLTA4LTI1L9IBAA?oc=5,8/25/2022 16:00,8/25/2022,Google News,"Oil prices ease on possible Iran oil exports, rising interest rates - Reuters",positive,1
https://news.google.com/__i/rss/rd/articles/CBMiV2h0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wOC8yNS9pbnZlc3RpbmcvZG9sbGFyLXRyZWUtZG9sbGFyLWdlbmVyYWwtZWFybmluZ3MvaW5kZXguaHRtbNIBAA?oc=5,8/25/2022 16:07,8/25/2022,Google News,Even dollar stores are starting to feel the pinch from inflation - CNN,negative,0
https://news.google.com/__i/rss/rd/articles/CBMiTWh0dHBzOi8vd3d3Lndzai5jb20vYXJ0aWNsZXMvcGVsb3Rvbi1wdG9uLXE0LWVhcm5pbmdzLXJlcG9ydC0yMDIyLTExNjYxMzkwODc10gEA?oc=5,8/25/2022 16:08,8/25/2022,Google News,Peloton's Quarterly Loss Tops $1.2 Billion - WSJ - The Wall Street Journal,neutral,0.5
https://news.google.com/__i/rss/rd/articles/CBMiWmh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS91cy1uZXdzLzIwMjIvYXVnLzI0L2NhbGlmb3JuaWEtYmFuLXNhbGVzLWdhcy1wb3dlcmVkLWNhcnMtMjAzNdIBAA?oc=5,8/25/2022 17:01,8/25/2022,Google News,California to approve plan to ban sales of gasoline-powered cars by 2035 - The Guardian US,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiQmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wOC8yNS9jYXJzL2Nhci1wcmljZS1ib3Jyb3dpbmcvaW5kZXguaHRtbNIBAA?oc=5,8/25/2022 17:41,8/25/2022,Google News,Americans are borrowing at record levels to pay for their expensive cars - CNN,negative,0
https://news.google.com/__i/rss/rd/articles/CBMiY2h0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMjUvdGV4YXMtc2F5cy0xMC1jb21wYW5pZXMtaW5jbHVkaW5nLWJsYWNrcm9jay1ib3ljb3R0aW5nLWVuZXJneS0uaHRtbNIBAA?oc=5,8/25/2022 18:01,8/25/2022,Google News,"Texas accuses 10 financial companies, including BlackRock, of 'boycotting' energy companies and orders state pension funds to divest from holdings - CNBC",positive,1
https://news.google.com/__i/rss/rd/articles/CBMiVmh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDIyLzgvMjUvMjMzMjE0ODgvcGVsb3Rvbi1xNC1lYXJuaW5ncy1iYXJyeS1tY2NhcnRoeS1maXRuZXNz0gEA?oc=5,8/25/2022 18:03,8/25/2022,Google News,Peloton CEO thinks losing $1.2 billion is a sign of substantial progress - The Verge,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiY2h0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMjUvaGVyZXMtaG93LXBlbG90b24tY2VvLWJhcnJ5LW1jY2FydGh5cy10dXJuYXJvdW5kLXBsYW4taXMtZ29pbmcuaHRtbNIBAA?oc=5,8/25/2022 18:37,8/25/2022,Google News,Here's how Peloton CEO Barry McCarthy's turnaround plan is going - CNBC,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiWWh0dHBzOi8vd3d3Lm5wci5vcmcvMjAyMi8wOC8yNS8xMTE5MjE0MzE5L3Nob3BwaW5nLXNhbGVzLXdhbG1hcnQtYW1hem9uLWluZmxhdGlvbi1lY29ub2150gEA?oc=5,8/25/2022 18:44,8/25/2022,Google News,What our shopping choices say about the U.S. economy - NPR,positive,1
https://news.google.com/__i/rss/rd/articles/CBMia2h0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMjUvdGVzbGEtdGhyZWF0ZW5zLXRvLXN1ZS1jcml0aWMtb3Zlci1hZHMtc2hvd2luZy1jYXJzLWhpdHRpbmctbWFubmVxdWlucy5odG1s0gEA?oc=5,8/25/2022 18:45,8/25/2022,Google News,Tesla threatens to sue critic over ads showing its cars hitting kid-sized mannequins - CNBC,negative,0
https://news.google.com/__i/rss/rd/articles/CBMiZ2h0dHBzOi8vd3d3LnNlYXR0bGV0aW1lcy5jb20vYnVzaW5lc3Mvc3RhcmJ1Y2tzLXNob3J0Y2hhbmdlZC11bmlvbi13b3JrZXJzLWluLXNlYXR0bGUtbGFib3ItYm9hcmQtc2F5cy_SAQA?oc=5,8/25/2022 19:21,8/25/2022,Google News,"Starbucks shortchanged union workers in Seattle, labor board says - The Seattle Times",positive,1
https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9d3doY0hRc1ZaUmvSAQA?oc=5,8/25/2022 19:44,8/25/2022,Google News,Analyzing consumer spending trends amid high inflation - CBS News,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiamh0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vbmV3cy9lY29ub215L2ZlZC1jaGFpci1wb3dlbGxzLXNwZWVjaC10aGUtdHdvLXdvcmRzLXRoYXQtY291bGQtdXBlbmQtdGhlLXNwLTUwMC_SAQA?oc=5,8/25/2022 20:05,8/25/2022,Google News,Fed Chair Powell's Speech: The Two Words That Could Upend The S&P 500 - Investor's Business Daily,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiSWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjIvMDgvMjUvYnVzaW5lc3MvcGVsb3Rvbi1lYXJuaW5ncy00cS0yMDIyLmh0bWzSAQA?oc=5,8/25/2022 20:07,8/25/2022,Google News,Peloton Reports a $1.2 Billion Loss as Sales Slow - The New York Times,neutral,0.5
https://news.google.com/__i/rss/rd/articles/CBMibmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL2F1dG9zLXRyYW5zcG9ydGF0aW9uL3Rlc2xhLXNoYXJlcy1saW1lbGlnaHQtMy0xLXN0b2NrLXNwbGl0LWtpY2tzLTIwMjItMDgtMjUv0gEA?oc=5,8/25/2022 20:09,8/25/2022,Google News,Tesla shares close lower after 3-1 stock split - Reuters,neutral,0.5
https://news.google.com/__i/rss/rd/articles/CBMiS2h0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMjUvZ2FwLWdwcy1yZXBvcnRzLWZpc2NhbC1xMi0yMDIyLXJlc3VsdHMuaHRtbNIBT2h0dHBzOi8vd3d3LmNuYmMuY29tL2FtcC8yMDIyLzA4LzI1L2dhcC1ncHMtcmVwb3J0cy1maXNjYWwtcTItMjAyMi1yZXN1bHRzLmh0bWw?oc=5,8/25/2022 20:15,8/25/2022,Google News,Gap withdraws 2022 financial outlook as Old Navy sales fall in second quarter - CNBC,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50L2FlMmQzZmZhLThmMzgtNDIzZC05Y2VmLWI1MGI1YjE4NWJiZNIBAA?oc=5,8/25/2022 20:35,8/25/2022,Google News,US stocks rise with all eyes on Jackson Hole summit - Financial Times,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiTWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wOC8yNS91cy9jYWxpZm9ybmlhLWJhbi1uZXctZ2FzLWNhcnMtdm90ZS9pbmRleC5odG1s0gFRaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMi8wOC8yNS91cy9jYWxpZm9ybmlhLWJhbi1uZXctZ2FzLWNhcnMtdm90ZS9pbmRleC5odG1s?oc=5,8/25/2022 20:45,8/25/2022,Google News,California votes to ban new gas car sales by 2035 - CNN,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9QmdKOXY1a0dzVUXSAQA?oc=5,8/25/2022 20:46,8/25/2022,Google News,Bloomberg Surveillance Simulcast' Full Show 8/25/2022 - Bloomberg Markets and Finance,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiXWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMjUvY2FsaWZvcm5pYS1iYW5zLXRoZS1zYWxlLW9mLW5ldy1nYXMtcG93ZXJlZC1jYXJzLWJ5LTIwMzUuaHRtbNIBYWh0dHBzOi8vd3d3LmNuYmMuY29tL2FtcC8yMDIyLzA4LzI1L2NhbGlmb3JuaWEtYmFucy10aGUtc2FsZS1vZi1uZXctZ2FzLXBvd2VyZWQtY2Fycy1ieS0yMDM1Lmh0bWw?oc=5,8/25/2022 20:51,8/25/2022,Google News,California bans the sale of new gas-powered cars by 2035 - CNBC,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiaGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMjUvYmVkLWJhdGgtYmV5b25kLXNheXMtaXQtd2lsbC1zaGFyZS1pdHMtY29tZWJhY2stc3RyYXRlZ3ktbmV4dC13ZWVrLS5odG1s0gFsaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjIvMDgvMjUvYmVkLWJhdGgtYmV5b25kLXNheXMtaXQtd2lsbC1zaGFyZS1pdHMtY29tZWJhY2stc3RyYXRlZ3ktbmV4dC13ZWVrLS5odG1s?oc=5,8/25/2022 20:52,8/25/2022,Google News,Bed Bath & Beyond says it will share its comeback strategy next week - CNBC,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiTWh0dHBzOi8vd3d3LmZveGJ1c2luZXNzLmNvbS9wb2xpdGljcy9jYWxpZm9ybmlhLWJhbi1nYXMtcG93ZXJlZC1jYXJzLWVsZWN0cmlj0gEA?oc=5,8/25/2022 21:18,8/25/2022,Google News,California board moves to ban gas-powered cars by 2035 in favor of electric vehicles - Fox Business,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50LzliYmIyNTBmLTI5OTUtNDAzNS05MTRjLWI0MmIxZjMzOTdlZdIBAA?oc=5,8/25/2022 21:37,8/25/2022,Google News,BlackRock labels Texas 'anti-competitive' over ESG blacklisting - Financial Times,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiV2h0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS90ZWNobm9sb2d5LzIwMjIvYXVnLzI1L3R3aXR0ZXItZWxvbi1tdXNrLXNwYW0tYWNjb3VudHMtZGF0YdIBAA?oc=5,8/25/2022 22:50,8/25/2022,Google News,Judge orders Twitter to turn over to Elon Musk data from 2021 users audit - The Guardian,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiSGh0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvY2FsaWZvcm5pYS1iYW5zLXNhbGUtZ2FzLXBvd2VyZWQtY2Fycy0yMDM1L9IBAA?oc=5,8/25/2022 23:27,8/25/2022,Google News,California bans the sale of new gas-powered vehicles by 2035 - CBS News,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiYGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjIvMDgvMjUvYnVzaW5lc3MvZW5lcmd5LWVudmlyb25tZW50L2VsZWN0cmljLXZlaGljbGVzLWF1dG9tYWtlcnMuaHRtbNIBAA?oc=5,8/25/2022 23:41,8/25/2022,Google News,California E.V. Mandate Finds a Receptive Auto Industry - The New York Times,positive,1
https://news.google.com/__i/rss/rd/articles/CBMifWh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL3RlY2hub2xvZ3ktY2FsaWZvcm5pYS1haXItcmVzb3VyY2VzLWJvYXJkLWNsaW1hdGUtYW5kLWVudmlyb25tZW50LWRjNzVjMTEyODBmODVhOGFiMTM0Y2YzOTI0OTdiZTY40gEA?oc=5,8/26/2022 1:09,8/26/2022,Google News,California phasing out gas vehicles in climate change fight - The Associated Press,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiXGh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9idXNpbmVzcy8yMDIyLzA4LzI1L2NoaXBvdGxlLXVuaW9uLXZpY3RvcnktZmFzdGZvb2QtbWljaGlnYW4v0gEA?oc=5,8/26/2022 1:39,8/26/2022,Google News,Chipotle workers vote to unionize for first time - The Washington Post,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiKmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy02MjY4MzI2MNIBLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy02MjY4MzI2MC5hbXA?oc=5,8/26/2022 3:03,8/26/2022,Google News,California to ban sales of petrol-only vehicles by 2035 - BBC,neutral,0.5
https://news.google.com/__i/rss/rd/articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA4LTI2L2ZlZC1zLWphY2tzb24taG9sZS1jb25mZXJlbmNlLWlzLXVuZGVyd2F5LWhlcmUtcy13aGF0LXRvLWV4cGVjdNIBAA?oc=5,8/26/2022 3:04,8/26/2022,Google News,Fed's Jackson Hole Conference Is Underway: Here's What to Expect - Bloomberg,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiSWh0dHBzOi8vd3d3LnNwYWNlLmNvbS9zcGFjZXgtc3RhcmxpbmstZGlyZWN0LXNlcnZpY2Utc21hcnRwaG9uZXMtdC1tb2JpbGXSAQA?oc=5,8/26/2022 3:08,8/26/2022,Google News,SpaceX Starlink satellites to beam service straight to smartphones - Space.com,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9LTlhUEE2cFlJdUXSAQA?oc=5,8/26/2022 5:25,8/26/2022,Google News,Report: Tesla's self-driving tech fails to detect kids on road | WION Business News - WION,positive,1
https://news.google.com/__i/rss/rd/articles/CBMigQFodHRwczovL3d3dy5pbnZlc3RvcnMuY29tL21hcmtldC10cmVuZC9zdG9jay1tYXJrZXQtdG9kYXkvZG93LWpvbmVzLWZ1dHVyZXMtZmVkLWNoaWVmLXBvd2VsbC1leHBlY3RlZC10by1zYXktdGhpcy1tYXJrZXQtcmFsbGllcy_SAQA?oc=5,8/26/2022 5:55,8/26/2022,Google News,Dow Jones Futures: Market Expects This From Fed Chief Powell; 5 Stocks In Buy Zones | Investor's Business Daily - Investor's Business Daily,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiXGh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS90ZWNobm9sb2d5LzIwMjIvMDgvMjUvdG1vYmlsZS1zcGFjZXgtc3RhcmxpbmstY2VsbC1kZWFkLXpvbmUv0gEA?oc=5,8/26/2022 6:41,8/26/2022,Google News,T-Mobile to use SpaceX Starlink satellites to expand cell service - The Washington Post,neutral,0.5
https://news.google.com/__i/rss/rd/articles/CBMiKmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy02MjY3NDMwMdIBLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy02MjY3NDMwMS5hbXA?oc=5,8/26/2022 6:53,8/26/2022,Google News,Energy bill price rise will be 'devastating' - BBC,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiUWh0dHBzOi8vd3d3LmZveGJ1c2luZXNzLmNvbS9tYXJrZXRzL3Bvd2VsbC1zcGVlY2gtZ2FwLWZhbGxzLWZyaWRheXMtNS10aGluZ3Mta25vd9IBAA?oc=5,8/26/2022 7:04,8/26/2022,Google News,"Powell speech, Gap gains and more: Friday's 5 things to know - Fox Business",positive,1
https://news.google.com/__i/rss/rd/articles/CBMiYmh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMjYvYXNpYS1tYXJrZXRzLWphY2tzb24taG9sZS1zdG9ja3MtZWNvbm9taWMtZGF0YS1pbnRlcmVzdC1yYXRlcy5odG1s0gEA?oc=5,8/26/2022 7:32,8/26/2022,Google News,Australia stocks lead gains in Asia ahead of Powell's Jackson Hole speech - CNBC,neutral,0.5
